CODICESCUOLA,CODICEEDIFICIO,SPAZIDIDATTICI,AULAMAGNA,MENSA,PALESTRAPISCINA,SPAZIAMMINISTRATIVI,SUPERAMENTOBARRIEREARCH,ACCESSORAMPE,SCALENORMA,ASCENSOREDISABILI,PIATTAFORMAELEVATRICE,SERVIZIIGIENICIDISABILI,PORTELARGHEZZADISABILI,PERCORSIINTERNIDISABILI,PERCORSIESTERNIDISABILI,ALTRIACCORGIMENTIDISABILI,IMPIANTORISCALDAMENTO,CENTRALIZZATOOLIOCOMBUSTIBILI,CENTRALIZZATOGASOLIO,CENTRALIZZATOMETANO,CENTRALIZZATOGPL,CENTRALIZZATOARIA,CORPISCALDANTIELETTRICIAUTONOMI,TELERISCALDAMENTO,CONDIZIONAMENTOVENTILAZIONE,RISCALDAMENTOALTRANATURA,RANK
VAAA84101C,120020009,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,False,False,True,2.8
VAAA84102D,120020008,True,False,False,False,False,True,False,False,False,False,True,True,False,False,True,True,False,False,True,False,False,False,False,False,True,3.2
VAAA842018,120460065,True,False,False,False,False,True,False,False,False,False,False,False,True,True,True,True,False,False,True,False,False,False,False,False,True,3.2
VAAA843014,120320030,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,True,2.4
VAAA84401X,121180050,True,False,True,False,False,True,True,True,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,True,3.6
VAAA84601G,121220048,True,False,True,True,True,True,True,True,False,True,True,True,True,False,True,True,False,False,True,False,False,False,False,False,True,6.0
VAAA84701B,121190268,True,False,False,True,True,True,True,False,False,True,True,True,True,False,True,True,False,False,True,False,False,False,False,False,True,5.2
VAAA848028,121190264,True,False,False,True,True,True,False,True,True,False,True,True,False,False,True,True,False,False,True,False,False,False,False,False,True,4.8
VAAA850017,120750913,True,False,False,False,False,True,True,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,True,2.8
VAAA85201V,121300291,True,False,True,True,False,True,True,True,True,False,True,True,True,False,True,True,False,False,True,False,False,False,False,False,True,5.6
VAAA85301P,120340020,True,False,False,False,True,True,True,False,False,False,True,True,False,False,True,True,False,False,True,False,False,False,False,False,True,4.0
VAAA85302Q,120340030,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,1.2
VAAA85501A,120260014,True,False,False,False,True,True,True,True,True,False,True,True,True,False,True,True,False,False,True,False,False,False,False,False,True,5.2
VAAA856016,120260015,True,False,False,False,True,True,True,False,True,True,True,False,False,False,True,True,False,False,False,False,False,False,True,False,True,4.4
VAAA85801T,120260017,True,False,False,True,True,True,True,False,True,False,True,False,True,False,True,True,False,False,True,False,False,False,False,False,True,4.8
VAAA85901N,120260018,True,False,False,False,True,True,False,False,False,False,True,True,True,False,True,True,False,False,True,False,False,False,False,False,True,4.0
VAAA86001T,120260019,True,False,False,False,True,True,True,False,False,False,True,True,True,False,True,True,False,False,False,False,False,False,False,False,True,4.0
VAAA86002V,120260016,True,False,False,False,True,True,True,False,False,False,True,False,True,False,True,True,False,False,True,False,False,False,False,False,True,4.0
VAAA86101N,121180049,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,True,2.4
VAAA863019,121340061,True,False,True,True,True,True,True,True,False,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,6.0
VAAA865011,120390011,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,True,2.0
VAAA865011,120390001,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,True,2.0
VAAA865022,120050114,True,False,False,False,False,True,True,True,True,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,5.2
VAAA865022,120050001,False,False,True,False,False,True,False,False,False,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,True,2.8
VAAA86601R,120260013,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,True,2.4
VAAA869018,121330004,True,False,False,False,False,True,True,False,False,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,4.4
VAAA871018,121330006,True,False,False,False,False,True,True,False,False,False,True,True,True,True,True,True,False,False,False,False,False,False,True,False,True,4.4
VAAA872025,121330007,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,True,False,False,True,False,False,False,False,False,True,2.8
