NOMESCUOLA,DESCRIZIONECOMUNE,CODICESCUOLA,INDIRIZZO,LATITUDINE,LONGITUDINE,SITOWEB,DESCRIZIONETIPOLOGIAGRADOISTRUZIONESCUOLA,CODICEISTITUTORIFERIMENTO,CAPSCUOLA
I.C. L.SPALLANZANI,VENEZIA,VEEE875017,VIA MONTE BERICO 16,45.5071258,12.2549146,http://www.spallanzanimestre5.gov.it,SCUOLA PRIMARIA,VEIC875005,30174
I.C. U. FOSCOLO MURANO-BURANO,VENEZIA,VEMM81401P,FONDAMENTA RADI ,27.362650300000002,91.72547309999999,http://http//www.icmuranoburano.gov.it,SCUOLA PRIMO GRADO,VEIC81400N,30141
I.C. VIALE SAN MARCO,VENEZIA,VEIC874009,VIALE SAN MARCO ,45.5615953,12.298916,,ISTITUTO COMPRENSIVO,VEIC874009,30173
SILVIO TRENTIN,VENEZIA,VEEE84401G,VIA PENELLO 1,45.52699335,12.2369021141711,http://www.istitutocomprensivotrentin.gov.it,SCUOLA PRIMARIA,VEIC84400D,30174
I.C. U. FOSCOLO MURANO-BURANO,VENEZIA,VEEE81402R,CALLE CONVENTO 21,45.459951200000006,12.3567959,http://http//www.icmuranoburano.gov.it,SCUOLA PRIMARIA,VEIC81400N,30141
I.C. VIALE SAN MARCO,VENEZIA,VEEE87403D,VIALE S. MARCO 67,45.4781109,12.265883,http://www.icvialesanmarco.gov.it,SCUOLA PRIMARIA,VEIC874009,30173
CARLO ZUCCANTE,VENEZIA,VETF04000T,VIA BAGLIONI ,43.1097773,12.38923,http://www.itiszuccante.gov.it,ISTITUTO TECNICO INDUSTRIALE,VETF04000T,30173
ANTONIO GRAMSCI,VENEZIA,VEIC81000A,VIA PASSO CAMPALTO /O,45.486462700000004,12.2972431,,ISTITUTO COMPRENSIVO,VEIC81000A,30173
I.C. VIALE SAN MARCO,VENEZIA,VEAA874016,VIALE S. MARCO 182,45.4781109,12.265883,http://www.icvialesanmarco.gov.it,SCUOLA INFANZIA,VEIC874009,30173
I.C. VIALE SAN MARCO,VENEZIA,VEEE87401B,VIA PACCAGNELLA 11,45.5100456,12.2232479,http://www.icnoale.gov.it,SCUOLA PRIMARIA,VEIC874009,30174
ANDREA BARBARIGO,VENEZIA,VERH04000D,CASTELLO 639,45.434680900000004,12.350914064274301,http://www.barbarigo.it,IST PROF PER I SERVIZI ALBERGHIERI E RISTORAZIONE,VERH04000D,30122
ANDREA BARBARIGO,VENEZIA,VERH04050V,CASTELLO 639,45.434680900000004,12.350914064274301,http://www.barbarigo.it,IST PROF PER I SERVIZI ALBERGHIERI E RISTORAZIONE,VERH04000D,30122
I.C. F. GRIMANI,VENEZIA,VEIC870002,VIA CANAL ,46.7704914,9.060644,,ISTITUTO COMPRENSIVO,VEIC870002,30175
"I.C. ""FRANCA ONGARO""",VENEZIA,VEEE840029,VIA BUONO DA MALAMOCCO,45.3694323,12.3377451,http://http//www.scuolelidopellestrina.gov.it/,SCUOLA PRIMARIA,VEIC840006,30010
"I.C. ""FRANCA ONGARO""",VENEZIA,VEEE840018,VIA MALAMOCCO 1,45.388798799999996,12.3511193,http://http//www.scuolelidopellestrina.gov.it/,SCUOLA PRIMARIA,VEIC840006,30126
