CODICESCUOLA,CODICEEDIFICIO,SPAZIDIDATTICI,AULAMAGNA,MENSA,PALESTRAPISCINA,SPAZIAMMINISTRATIVI
AGEE03406B,840414294,True,False,False,True,False
AGEE03407C,840414314,True,False,False,False,False
AGEE035001,840413405,False,False,False,True,False
AGEE035012,840413405,False,False,False,True,False
AGEE805015,840393425,True,False,False,False,False
AGEE805026,840351113,False,False,False,True,False
AGEE805026,840351112,True,False,False,True,False
AGEE80702T,840144830,True,False,False,False,False
AGEE80703V,840243349,True,True,False,False,True
AGEE80801L,840383345,True,True,True,False,True
AGEE80802N,840254457,True,False,False,True,False
AGEE81001L,840204908,True,False,False,False,False
AGEE81002N,840204910,True,False,False,True,True
AGEE812018,840023120,True,True,False,True,True
AGEE812029,840151900,True,False,True,False,False
AGEE812029,840151899,False,False,False,True,False
AGEE81203A,840041066,True,False,True,True,False
AGEE813014,840401142,True,False,False,False,False
AGEE81501Q,840131056,False,False,False,True,False
AGEE81501Q,840131055,True,False,False,False,False
AGEE81502R,840111099,True,False,False,False,True
AGEE81701B,840341114,True,True,False,False,False
AGEE818017,840361147,True,False,False,False,False
AGEE818028,840361146,True,False,False,False,False
AGEE819013,840421154,True,False,False,True,False
AGEE819013,840421152,True,False,False,False,True
AGEE819024,840321042,False,False,False,True,False
AGEE819024,840321040,True,True,False,False,False
AGEE820017,840010020,True,False,False,False,False
AGEE820028,840010021,True,False,False,True,False
AGEE820039,840010027,True,False,False,False,False
AGEE82004A,840010023,True,False,False,False,False
AGEE821013,840010032,True,False,False,False,True
AGEE821013,840010033,False,False,False,True,False
AGEE821024,840010031,True,False,False,True,True
AGEE82202X,840010042,True,True,False,True,True
AGEE82302Q,840010003,True,False,False,False,True
AGEE82303R,840010004,True,False,False,True,False
AGEE82304T,840010001,True,False,False,False,False
AGEE82304T,840010002,False,False,False,True,False
AGEE82402G,840010066,True,True,False,True,True
AGEE82405P,840010067,True,False,False,True,False
AGEE82406Q,840010006,True,False,False,False,True
AGEE826016,840054833,True,False,False,False,True
AGEE826027,840221888,True,False,False,False,False
AGEE826049,840071169,True,True,False,True,True
AGEE826049,840071166,True,False,False,False,True
AGEE82605A,840071166,True,False,False,False,True
AGEE82606B,840071167,True,False,False,False,False
AGEE827023,840091057,True,False,False,False,True
AGEE827034,840091059,True,False,True,False,False
AGEE827045,840091058,True,False,False,False,False
AGEE82801T,840100610,True,False,True,False,False
AGEE82802V,840100618,True,True,False,False,False
AGEE82802V,840100612,True,True,False,False,True
AGEE82803X,840100611,True,False,False,False,False
AGEE82803X,840101519,False,False,False,True,False
AGEE82902P,840111804,True,False,False,False,True
AGEE82902P,840111098,True,False,False,True,True
AGEE82903Q,840111106,True,False,False,False,False
AGEE82903Q,840111104,True,False,False,False,True
AGEE82903Q,840111107,True,False,False,False,False
AGEE83001T,840111096,True,False,False,False,False
AGEE83101N,840174142,True,False,False,False,False
AGEE83102P,840174160,True,True,False,True,True
AGEE83103Q,840174149,True,False,False,False,False
AGEE83104R,840174155,True,False,False,False,False
AGEE83201D,840181535,False,False,False,True,False
AGEE83201D,840181531,True,False,False,False,True
AGEE83203G,840181526,True,False,False,False,False
AGEE833019,840211125,True,True,False,True,False
AGEE83303B,840211121,True,False,False,True,True
AGEE83304C,840211119,False,False,False,True,False
AGEE83304C,840211120,True,False,False,False,True
AGEE834015,840211131,True,False,False,False,False
