CODICESCUOLA,CODICEEDIFICIO,SPAZIDIDATTICI,AULAMAGNA,MENSA,PALESTRAPISCINA,SPAZIAMMINISTRATIVI,SUPERAMENTOBARRIEREARCH,ACCESSORAMPE,SCALENORMA,ASCENSOREDISABILI,PIATTAFORMAELEVATRICE,SERVIZIIGIENICIDISABILI,PORTELARGHEZZADISABILI,PERCORSIINTERNIDISABILI,PERCORSIESTERNIDISABILI,ALTRIACCORGIMENTIDISABILI,IMPIANTORISCALDAMENTO,CENTRALIZZATOOLIOCOMBUSTIBILI,CENTRALIZZATOGASOLIO,CENTRALIZZATOMETANO,CENTRALIZZATOGPL,CENTRALIZZATOARIA,CORPISCALDANTIELETTRICIAUTONOMI,TELERISCALDAMENTO,CONDIZIONAMENTOVENTILAZIONE,RISCALDAMENTOALTRANATURA,RANK
VEPM002013,270083882,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,6.4
VEPM02000G,270423825,True,True,False,True,True,True,False,False,False,False,True,False,True,False,True,True,False,False,True,False,False,False,False,False,True,4.4
VEPM02601G,270423823,True,False,False,False,True,True,False,False,True,False,False,True,True,False,True,True,False,False,True,False,False,False,False,False,True,4.0
VEPM02601G,270423837,True,False,False,False,True,True,False,False,False,True,True,False,False,False,True,True,False,False,True,False,False,False,False,False,True,3.6
VEPM030006,270293853,True,False,False,True,True,True,True,True,True,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,6.0
VEPS002012,270083879,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,1.2
VEPS002012,270083882,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,6.4
VEPS00301T,270243874,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,True,False,False,True,False,False,False,False,False,True,2.8
VEPS023013,270423839,True,True,False,False,True,True,True,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,True,3.6
VEPS023013,270423850,False,False,False,True,False,True,True,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,True,2.8
VEPS02601E,270423815,True,True,False,False,True,True,True,True,True,False,True,True,False,False,True,True,False,False,True,False,False,False,False,False,True,5.2
VEPS02601E,270423823,True,False,False,False,True,True,False,False,True,False,False,True,True,False,True,True,False,False,True,False,False,False,False,False,True,4.0
VEPS04000Q,270333820,True,False,False,True,False,True,True,False,False,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,4.8
VEPS04000Q,270333816,True,True,False,False,True,True,True,True,True,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,6.0
VEPS05000A,270423865,True,True,False,False,True,True,True,False,False,False,True,False,True,False,True,True,False,False,True,False,False,False,False,False,True,4.4
VEPS05000A,270423867,True,False,False,True,False,True,True,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,True,3.2
VEPS05000A,270423868,True,True,False,False,False,True,True,False,False,False,False,False,True,False,True,True,False,False,True,False,False,False,False,False,True,3.6
VEPS07000G,270123870,True,False,False,True,False,True,True,False,False,False,True,False,True,False,True,True,False,False,True,False,False,False,False,False,True,4.0
VEPS07000G,270423834,True,True,False,False,True,True,True,False,False,False,True,False,True,False,True,True,False,False,True,False,False,False,False,False,True,4.4
VEPS07000G,270123871,True,True,False,False,True,True,True,False,False,False,True,False,False,False,True,True,False,False,True,False,False,False,False,False,True,4.0
VERA02801Q,270243832,True,False,False,False,True,True,True,False,False,False,True,False,False,False,True,True,False,False,True,False,False,False,False,False,True,3.6
VERC004016,270423866,True,True,False,False,True,True,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,False,True,3.6
VERC00451G,270423866,True,True,False,False,True,True,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,False,True,3.6
VERC012015,270293857,True,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,6.4
VERF008017,270423848,True,False,False,False,True,True,True,False,True,False,True,False,False,False,True,True,False,False,True,False,False,False,False,False,True,4.0
VERH020008,270193854,True,True,False,False,True,True,True,True,True,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,6.0
VERH020008,270193855,True,False,False,True,False,True,True,True,True,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,5.6
VERH02050N,270193854,True,True,False,False,True,True,True,True,True,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,6.0
VERH03000V,270123842,True,False,False,False,True,True,True,False,False,False,True,False,False,False,True,True,False,False,True,False,False,False,False,False,True,3.6
VERH030508,270123842,True,False,False,False,True,True,True,False,False,False,True,False,False,False,True,True,False,False,True,False,False,False,False,False,True,3.6
VERH04000D,270423882,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,1.2
VERH04000D,270423829,True,False,False,False,False,True,True,False,True,False,True,False,True,True,True,True,False,False,True,False,False,False,False,False,True,4.4
VERH04000D,270423836,True,False,False,False,True,True,False,False,True,False,True,False,False,False,True,True,False,False,True,False,False,False,False,False,True,3.6
VERI002017,270063861,True,False,False,True,True,True,True,True,True,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,6.0
