IDVIAGGIO,IDFERMATA,LATITUDINEFERMATA,LONGITUDINEFERMATA,NOMEFERMATA,NUMEROAUTOBUS,ANDATA
707,5076,45.433514,12.344095,"S. Zaccaria (M.V.E.) ""B""",52,True
707,5078,45.419616999999995,12.35535,S. Servolo,52,True
1871,5079,45.412113,12.359925,S. Lazzaro,53,True
1052,5060,45.443016,12.340888,"F.te Nove ""C""",60,True
1052,5061,45.443138,12.340671,"F.te Nove ""B""",60,True
1052,5062,45.448673,12.345977,Cimitero S. Michele,60,True
1052,5063,45.451107,12.349192,"Murano Colonna ""A""",60,True
1052,5065,45.456103999999996,12.355435,Murano Museo DX,60,True
1052,5066,45.457446999999995,12.351191,Murano Venier,60,True
1052,5067,45.454853,12.347479,Murano Serenella,60,True
1052,5117,45.456115999999994,12.351936,Murano Da Mula,60,True
1052,5120,45.451134,12.348564,"Murano Colonna ""C""",60,True
1126,5006,45.429047,12.355934,Giardini Biennale SX,63,True
1126,5011,45.433456,12.342808999999999,"S. Zaccaria (Jolanda) ""D""",63,True
1126,5015,45.433571,12.31126,S. Marta,63,True
1126,5018,45.430523,12.367644,Certosa,63,True
1126,5019,45.439079,12.349658,Celestia,63,True
1126,5020,45.44088,12.344753,Ospedale,63,True
1126,5023,45.429008,12.315648,Sacca Fisola DX,63,True
1126,5082,45.425579,12.332047,Redentore,63,True
1126,5104,45.4389,12.316018,"P.le Roma (S.Andrea) ""B""",63,True
1126,5115,45.439205,12.357292999999999,Bacini,63,True
1126,5116,45.433834000000004,12.361842,S. Pietro di Castello,63,True
1126,5118,45.426624,12.337678,Zitelle DX,63,True
1126,5129,45.426899,12.325401,Giudecca Palanca DX,63,True
1115,5058,45.447674,12.332901,Madonna dell'Orto,64,True
1115,5059,45.448704,12.329509,S. Alvise,64,True
1115,5088,45.440371999999996,12.321408,"Ferrovia ""C""",64,True
1115,5135,45.445278,12.321106,Crea,64,True
1115,5189,45.444424,12.324183,Guglie,64,True
1140,5018,45.430523,12.367644,Certosa,68,False
1140,5019,45.439079,12.349658,Celestia,68,False
1140,5020,45.44088,12.344753,Ospedale,68,False
1140,5061,45.443138,12.340671,"F.te Nove ""B""",68,False
1140,5062,45.448673,12.345977,Cimitero S. Michele,68,False
1140,5064,45.454693,12.356580000000001,Murano Navagero,68,False
1140,5066,45.457446999999995,12.351191,Murano Venier,68,False
1140,5067,45.454853,12.347479,Murano Serenella,68,False
1140,5095,45.452557,12.354241,Murano Faro M/S SX,68,False
1140,5114,45.451111,12.348869,"Murano Colonna ""B""",68,False
1140,5115,45.439205,12.357292999999999,Bacini,68,False
1140,5116,45.433834000000004,12.361842,S. Pietro di Castello,68,False
1140,5117,45.456115999999994,12.351936,Murano Da Mula,68,False
1140,5119,45.456139,12.355189,Murano Museo SX,68,False
1140,5120,45.451134,12.348564,"Murano Colonna ""C""",68,False
1140,5128,45.428886,12.356096,Giardini Biennale DX,68,False
983,5060,45.443016,12.340888,"F.te Nove ""C""",69,False
1040,5027,45.43985,12.317839,"P.le Roma (Scomenzera) ""C",73,False
1040,5058,45.447674,12.332901,Madonna dell'Orto,73,False
1040,5059,45.448704,12.329509,S. Alvise,73,False
1040,5084,45.444294,12.32445,Guglie dx,73,False
1040,5089,45.440216,12.321242,"Ferrovia ""D""",73,False
1040,5135,45.445278,12.321106,Crea,73,False
1114,5015,45.433571,12.31126,S. Marta,74,False
1114,5022,45.426849,12.325638,Giudecca Palanca SX,74,False
1114,5081,45.42672,12.337905000000001,Zitelle SX,74,False
1114,5082,45.425579,12.332047,Redentore,74,False
1114,5112,45.438629,12.31565,"P.le Roma (S. Andrea) ""A""",74,False
1114,5139,45.428959000000006,12.316327000000001,Sacca Fisola SX,74,False
1864,5094,45.418144,12.368973,"Lido (S.M.E.) ""A""",82,True
1864,5618,45.430523,12.367644,Certosa (A Richiesta),82,True
1864,5619,45.439079,12.34966,Celestia (A Richiesta),82,True
1864,5715,45.439201000000004,12.357294,Bacini (A Richiesta),82,True
986,5049,45.42926,12.32628,Zattere SX,84,True
986,5083,45.430534,12.320824,S. Basilio,84,True
986,5085,45.446289,12.31978,Tre Archi,84,True
