SPAZIDIDATTICI,AULAMAGNA,MENSA,PALESTRAPISCINA,SPAZIAMMINISTRATIVI,SUPERAMENTOBARRIEREARCH,ACCESSORAMPE,SCALENORMA,ASCENSOREDISABILI,PIATTAFORMAELEVATRICE,SERVIZIIGIENICIDISABILI,PORTELARGHEZZADISABILI,PERCORSIINTERNIDISABILI,PERCORSIESTERNIDISABILI,ALTRIACCORGIMENTIDISABILI,IMPIANTORISCALDAMENTO,CENTRALIZZATOOLIOCOMBUSTIBILI,CENTRALIZZATOGASOLIO,CENTRALIZZATOMETANO,CENTRALIZZATOGPL,CENTRALIZZATOARIA,CORPISCALDANTIELETTRICIAUTONOMI,TELERISCALDAMENTO,CONDIZIONAMENTOVENTILAZIONE,RISCALDAMENTOALTRANATURA,RANK,NOMESCUOLA,DESCRIZIONECOMUNE,CODICESCUOLA,INDIRIZZO,LATITUDINE,LONGITUDINE,SITOWEB,DESCRIZIONETIPOLOGIAGRADOISTRUZIONESCUOLA,CODICEISTITUTORIFERIMENTO,CAPSCUOLA
True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,6.8,I.C. ILARIA ALPI,VENEZIA,VEMM83401X,VIA PASSO S.BOLDO 26,45.5048713,12.2786241,http://www.icilariaalpifavaro.it,SCUOLA PRIMO GRADO,VEIC83400V,30173
True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,6.8,I.C. ILARIA ALPI,VENEZIA,VEIC83400V,VIA GOBBI 1,45.4927419,12.293649,,ISTITUTO COMPRENSIVO,VEIC83400V,30173
True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,6.8,I.C. ILARIA ALPI,VENEZIA,VEEE834033,VIA MONTE CERVINO ,43.8764426,12.8057665,http://www.icilariaalpifavaro.it,SCUOLA PRIMARIA,VEIC83400V,30173
True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,6.8,I.C. ILARIA ALPI,VENEZIA,VEEE834022,VIA TRIESTINA 0,45.511578,12.3413905,http://www.icilariaalpifavaro.it,SCUOLA PRIMARIA,VEIC83400V,30173
True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,False,True,False,False,False,False,False,True,6.8,I.C. ILARIA ALPI,VENEZIA,VEEE834055,VIA GOBBI 13,45.4927419,12.293649,http://www.icilariaalpifavaro.it,SCUOLA PRIMARIA,VEIC83400V,30173
True,True,True,True,True,True,True,False,True,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,True,4.8,DANTE ALIGHIERI,VENEZIA,VEEE839014,GIUDECCA 373,45.4258541,12.3229991170211,http://www.alighierivenezia.eu,SCUOLA PRIMARIA,VEIC839002,30133
True,True,True,True,True,True,True,False,True,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,True,4.8,DANTE ALIGHIERI,VENEZIA,VEMM839013,S.MARCO 3042,45.43482885,12.334024740406196,http://www.alighierivenezia.it,SCUOLA PRIMO GRADO,VEIC839002,30124
True,False,True,True,True,True,True,True,True,False,True,True,False,False,True,True,False,False,True,False,False,False,False,False,True,5.6,"I.C. ""FRANCA ONGARO""",VENEZIA,VEEE840029,VIA BUONO DA MALAMOCCO,45.3694323,12.3377451,http://http//www.scuolelidopellestrina.gov.it/,SCUOLA PRIMARIA,VEIC840006,30010
True,False,True,True,True,True,True,True,True,False,True,True,False,False,True,True,False,False,True,False,False,False,False,False,True,5.6,"I.C. ""FRANCA ONGARO""",VENEZIA,VEEE840018,VIA MALAMOCCO 1,45.3887988,12.3511193,http://http//www.scuolelidopellestrina.gov.it/,SCUOLA PRIMARIA,VEIC840006,30126
True,False,True,True,True,True,True,True,True,False,True,True,False,False,True,True,False,False,True,False,False,False,False,False,True,5.6,"I.C. ""FRANCA ONGARO""",VENEZIA,VEAA840013,VIA BUONO DA MALAMOCCO,45.3694323,12.3377451,http://http//www.scuolelidopellestrina.gov.it/,SCUOLA INFANZIA,VEIC840006,30010
True,False,True,True,True,True,True,True,True,False,True,True,False,False,True,True,False,False,True,False,False,False,False,False,True,5.6,"I.C. ""FRANCA ONGARO""",VENEZIA,VEAA840035,VIA DEI BOTTA 323,45.319024,12.316837800000002,http://www.scuolelidopellestrina.gov.it,SCUOLA INFANZIA,VEIC840006,30126
True,False,True,True,True,True,True,True,True,False,True,True,False,False,True,True,False,False,True,False,False,False,False,False,True,5.6,"I.C. ""FRANCA ONGARO""",VENEZIA,VEEE84003A,RIVIERA SAN NICOLO' 21,45.42904160000001,12.3818924,http://www.scuolevenezialido.net,SCUOLA PRIMARIA,VEIC840006,30126
True,False,True,True,True,True,True,True,True,False,True,True,False,False,True,True,False,False,True,False,False,False,False,False,True,5.6,"I.C. ""FRANCA ONGARO""",VENEZIA,VEIC840006,VIA SANDRO GALLO ,45.39598170000001,12.3567711,,ISTITUTO COMPRENSIVO,VEIC840006,30126
True,False,True,True,True,True,True,True,True,False,False,True,False,False,True,True,False,False,True,False,False,False,False,False,True,5.2,SAN GIROLAMO,VENEZIA,VEMM84201V,CANNAREGIO 476,45.4438292,12.327037751593599,http://www.icsangirolamo.it,SCUOLA PRIMO GRADO,VEIC84200T,30121
